Bosnian Rainbows	Turtle Neck	Bosnian Rainbows	6:23:00
Chromatics	Ceremony	Cherry	6:13:00
Daeva	Dream	Beta Persei	2:19:00
Broken Social Scene	Mouth Guards of the Apocalypse	Hug of Thunder	5:44:00
Radiohead	Weird Fishes/ Arpeggi	In Rainbows	5:18:00
Xiu Xiu	I Luv the Valley OH!	Fabulous Muscles	2:59:00
Xiu Xiu	The Call	FORGET	3:17:00
GoldLink	Spectrum	And After That, We Didn't Talk	3:11:00
Nmesh	Dream Sequins®	Dream Sequins®	3:40:00
Mount Kimbie	How We Got By	Love What Survives	5:6:00
Spiritualized	Ladies and Gentlemen We Are Floating in Space	Ladies And Gentlemen We Are Floating In Space/Pill-Packaging	3:40:00
Gangly	Whole Again	Whole Again	4:33:00
Dirty Projectors	Little Bubble	Dirty Projectors	5:5:00
Shabazz Palaces	Late night phone calls	Quazarz vs. The Jealous Machines	3:25:00
Busdriver	Worlds to Run	Thumbs	5:15:00
serpentwithfeet	four ethers	blisters	4:29:00
Lemon Demon	Touch-Tone Telephone	Spirit Phone	4:42:00
Dan Deacon	Wham City	Spiderman Of The Rings	11:45:00
Sunset Rubdown	Us Ones In Between	Shut Up I Am Dreaming	4:26:00
Post Animal	When I Get Home	The Garden Series	5:23:00
Car Seat Headrest	Unforgiving Girl (She's Not An)	Teens Of Denial	5:26:00
Swet Shop Boys	Tiger Hologram	Cashmere	2:56:00
Perfume Genius	Grid	Too Bright	2:39:00
Le1f	Change	Riot Boi	4:55:00
Jack Colwell	Seek the Wild (Lonelyspeck Remix)	Seek the Wild (Lonelyspeck Remix)	3:6:00
Geotic	Valiance	Abysma	5:22:00
Geotic	Actually Smiling	Abysma	4:54:00
Frankie Cosmos	Young	Fit Me In	2:2:00
Frank Ocean	Chanel	Chanel	3:30:00
Against Me!	Dead Rats	Shape Shift With Me	4:8:00
Tobacco	Video Warning Attempts	Ultima II Massage	2:59:00
Forest Swords	Shrine Out	Shrine (Original Dance Score)	6:56:00
Gangly	Blow Out	Blow Out	4:2:00
Zola Jesus	Wiseblood	Okovi	4:38:00
Ra Ra Riot	Water	Water	4:40:00
Animal Collective	New Town Burnout - Shabazz Palaces Remix	Monkey Been To Burn Town	7:56:00
Cold War Kids	Rubidoux	Robbers & Cowards	11:2:00
Open Mike Eagle	Raps for When It's Just You and the Abyss	A Special Episode - EP	4:10:00
Swet Shop Boys	Zombie	Sufi La	2:27:00
C Duncan	Last To Leave	The Midnight Sun	3:30:00
Dark Rooms	I Get Overwhelmed	Distraction Sickness	4:48:00
Fire-Toolz	? [CODENAME_AUTO-BRIGHTNESS]	Drip Mental	8:37:00
Xiu Xiu	Hay Choco Bananas	FORGET	3:47:00
Tusks	For You	False	3:50:00
serpentwithfeet	blisters	blisters	6:48:00
Lemon Demon	Cabinet Man	Spirit Phone	4:22:00
Jaala	Hard Hold	Hard Hold	4:3:00
Remember Remember	Why You Got A Blue Face?	Forgetting The Present	8:25:00
Car Seat Headrest	Connect the Dots (The Saga of Frank Sinatra)	Teens Of Denial	6:7:00
James McAlister	Jupiter	Planetarium	7:10:00
Dan Deacon	Steely Blues	Gliss Riffer	7:35:00
Enon	Natural Disasters	High Society	2:49:00
Nicole Dollanganger	You're so Cool	Natural Born Losers	4:15:00
Jay Som	For Light	Everybody Works	7:22:00
The Birthday Party	Wild World	Hits	3:26:00
Son Lux	Let Go	We Are Rising	3:21:00
Flying Lotus	Never Catch Me (feat. Kendrick Lamar)	Never Catch Me (feat. Kendrick Lamar)	3:54:00
Joanne Robertson	FUCKBOY ANTHEM	WAHALLA	4:4:00
Nick Cave & The Bad Seeds	We Call Upon the Author	Dig, Lazarus, Dig!!!	5:11:00
Dean Blunt	HUSH	Black Metal	1:16:00
Beck	Let's Get Lost	Let's Get Lost	4:10:00
Jpegmafia	Ash My Blunt on a Suspended License / Don't Ruin That Boy	Ash My Blunt on a Suspended License / Don't Ruin That Boy	5:51:00
Dedekind Cut	Instinct	$uccessor (ded004)	4:2:00
Moses Sumney	Lonely World - Lamentations Version	Lonely World (Lamentations Version)	4:47:00
Prince	Moonbeam Levels	4Ever	4:6:00
CSS	Faith in Love	Planta	4:38:00
Trim	No Manners	1-800 DINOSAUR Presents Trim	2:54:00
The Haxan Cloak	Mara	Excavation	3:13:00
LCD Soundsystem	oh baby	american dream	5:49:00
Forest Swords	The Highest Flood	Compassion	5:7:00
James McAlister	Pluto	Planetarium	4:23:00
Father John Misty	Things It Would Have Been Helpful to Know Before the Revolution - The Haxan Cloak Remix	Things It Would Have Been Helpful to Know Before the Revolution (The Haxan Cloak Remix)	4:18:00
Speedy Ortiz	No Below	Major Arcana	3:43:00
Gary Numan	M.E.	The Pleasure Principle	5:37:00
Lemon Jelly	Ramblin' Man	Lost Horizons	7:6:00
Jen Cloher	Forgot Myself	Jen Cloher	4:23:00
Games	Strawberry Skies - Gatekeeper Remix	That We Play	3:19:00
BROCKHAMPTON	JUNKY	SATURATION II	4:8:00
XXX	Flight Attendant	KYOMI	3:46:00
Daughter	No Care	Not To Disappear	2:53:00
GUM	Gemini	Flash In The Pan	4:25:00
Fire-Toolz	The Graying of The Crocs [CODENAME_PASSBOOK]	Drip Mental	4:26:00
Steve Miller Band	Threshold	Greatest Hits 1974-78	1:6:00
ANOHNI	Paradise	Paradise	4:28:00
Perfume Genius	Otherside	No Shape	2:40:00
Death Grips	Deep Web	No Love Deep Web	2:18:00
Clark	Suns Of Temper	Totems Flare	5:47:00
Death Grips	Double Helix	The Money Store	2:40:00
Metahesh	Crystal	Czeluść vol.#2	3:13:00
Mokumedori	nursery	Mokumedori	4:34:00
LCD Soundsystem	someone great - live at madison square garden	the long goodbye (lcd soundsystem live at madison square garden)	6:32:00
Tobacco	Spitlord	Ultima II Massage	1:9:00
Camp Cope	Jet Fuel Can't Melt Steel Beams	Camp Cope	4:5:00
Black Marble	Iron Lung	It's Immaterial	3:57:00
Chelou	Damned Eye See	Damned Eye See	4:1:00
Minimal Man	Pull Back the Bolt	Safari	2:55:00
Death Grips	Hacker	The Money Store	4:35:00
The Books	Free Translator	The Way Out	3:50:00
Dirty Projectors	Up In Hudson	Up In Hudson	7:30:00
Kendrick Lamar	untitled 02 06.23.2014.	untitled unmastered.	4:18:00
The Microphones	I Want Wind to Blow	The Glow, Pt. 2	5:32:00
Malian Musicians	Sunset Coming On	Mali Music	4:14:00
Lorn	Anvil	Vessel	3:32:00
